,id,question,score,feedback,answer
0,Short_answer_A,How can a continuous map representation be modified to reduce the computational cost?,"1,5","- Decomposition and abstraction are conceptually similar
- Using closed world assumption and selecting only necessary features for localization, the computational cost can be greatly reduced ","   A continuous map representation can be modified as:
   - Using abstraction 
   - Representation in 2D instead of 3D 
   - Using decomposition
   - By the use of polygons to represent structures in the world"
1,Short_answer_A,How can a continuous map representation be modified to reduce the computational cost?,2,,"- A continuous map representation can be performed by enclosing the obstacles within a convex polygon.
- In line based continuous map representation, using laser range finder, the distance to obstacles could be found out and the obstacles can be enclosed within many horizontal and vertical lines, the passes through the edges of the obstacles.
- Since as the map size increases with the number of obstacles, a 2D representation of the environment is used"
2,Short_answer_A,How can a continuous map representation be modified to reduce the computational cost?,"1,5","- employing closed world assumption greatly reduces computaional cost
","- We can use the continous map and modify it with filtering to have less noise.
- Also we can modify the continous map to get a map with less details of the environment to reduce the computational complexity."
3,Short_answer_A,How can a continuous map representation be modified to reduce the computational cost?,1,"- closed world assumption
- selecting only necessary features of environment
- abstraction of the features by representing them as polygons or lines","-Continuous map cost more when 3D representation of environment is envovled.  If the representation is kept till 2D then the computational cost will be less. <br>
-The map can be decomposed using map decomposition methods to reduce the computational cost if 3D representation is required."
4,Short_answer_A,How can a continuous map representation be modified to reduce the computational cost?,0,,"1. Continuous Map is very simple algorithm and it requires less parameters.
2. It can be reduced by capturing only data points which are immediately relevant to localization."
5,Short_answer_A,How can a continuous map representation be modified to reduce the computational cost?,1,,"A continuous map reprensentation can be modified through decomposition to reduce computational costs. This means that the map is simplified, so it uses less costs."
6,Short_answer_A,How can a continuous map representation be modified to reduce the computational cost?,2,,"A continuous map representation can be used with a closed world assumption that only the objects represented in the map are present in the real world environment, and also by abstraction wherein the obstactles are represented as simpler geometrical shapes. This will reduce the amount of data that needs to be processed and will reduce the computational cost. "
7,Short_answer_A,How can a continuous map representation be modified to reduce the computational cost?,2,,"By employing way of abstraction and capturing closed environment, the cost would be reduced."
8,Short_answer_A,How can a continuous map representation be modified to reduce the computational cost?,1,"- employing closed world assumption
- selecting only relevant features for representation
- abstract representation of environmental features",By reducing the extra dimensionallity from the continuous maps could result in reducing the computational cost as well as extracting only abstract and the most relevant information from the environment.
9,Short_answer_A,How can a continuous map representation be modified to reduce the computational cost?,1,,By storing only the relevant objects and details.
10,Short_answer_A,How can a continuous map representation be modified to reduce the computational cost?,1,,"By using abstraction and capture relevant features, and neglect not so important information from the map, we can reduce the computational cost of the continuous map."
11,Short_answer_A,How can a continuous map representation be modified to reduce the computational cost?,2,,By using the continuous map representation with closed world world assumption approach.In this way the objects will be represented as lines and free spaces will be left alone.
12,Short_answer_A,How can a continuous map representation be modified to reduce the computational cost?,1,"- closed world assumption
- selecting features only relevant for localization
- representing 3D maps as 2D maps",can be repersent obestecls in polygons to reduce the computational cost
