	id	answer	score
0	1	ANN is huge parallel distributed processor ,    consist of simple processing units and     which has propensity of storing experintial knowlegde     and making it available for use.	1
1	1	Artificial neural network is a massively parrallal distributed processor made up of simple processing units which has a natural propensity to acquire knowledge from the environment and make it available for future use.    It resembels the human brain in following ways.    1. Both of them acquire knowledge from the environment.  2. The neurons are connected by synapses cahrecterized by their weights which can be adjusted.	2
2	1	YOUR ANSWER HERE    An artificial neural network is a massively distributed parallel processor made of simple processing units. It has natural propensity to store experential knowledge and it makes the knowledge available for further use.    An artificial neural network uses inter neuron connections called synaptic weights to store the knowledge acquired knowledge which is very similar to how human brain works.	2
3	1	ANN is a massively distributed processor, consisting of simple processing units called neurons. These neurons in terms of ANN are similar to neurons in human brain. Both neurons are characterized by synapses(connection links). They represent connections used for data flow between neurons. In both ANN and Human brain, the knowledge is represented by its very structure and activation state of neurons.  	2
4	1	Artificial neural network is massive parallel processor made up of simple processing units called neurons.     They are capable of storing experential knowledge and make it available for later use.     Similarity to human brain:   1. they learn from the envirnoment   2. they store knowledge as synaptic weight in the interneuron connection 	2
5	1	An artificial neural network is a highly distributed processor which consists of several simple processing units. It resembles the human brain, because the processing units are neurons, which are connected with weights. The human brain also consists of neurons.	1
6	1	Artificial neural network is a **massively parallel distributed processor** with synaptic links that can able to **store experimental knowledge** and make it available for use.    It resembles human brain in two ways,    * Knowledge is acquired by the neural network from its environment through learning process.  * Interneuron connection called synaptic links stores the acquired knowledge.	2
7	1	Artificial neural network are the network of the units that learn data from the environment and store them using synaptic weights.    The structure of the artificial neural network is similar to human brain. It has neurons, ie., the store units and the axoms called synapses which link the stored data.	1
8	1	Definition:  1. Artificial neural networks are massively distributed parallel processor.  2. It is made up of small units,   3. Which has the propensity for storing the experential knowledge.  4. And making it available for use.     It resembles the brain in 2 aspects.   1. Similar to the brain, artificial neural network does the process of learning from the environment.   2. It as a pair of inter neuron links known as the synaptic weights, which is used for storing the information. 	2
9	1	Artificial neural network is massive parallely distributed processor. It comprises of small processing units called neurons. It learns from experiencial knowledge which is then stored and can be used for making predictions. It resembles human brain in 2 ways:  * It learns from experiencial knowledge  * Knowledge is stored in synaptic interneuron connections.	2
10	1	It is a massively parallel distributed processor consisting of simple processing units, which can store experiential knowledge and make it available for use. it resembles the human brain in 2 ways: 1. knowledge is acquired from environment through a learning process; 2. interneuron connections are used to store the experiential knowledge.	2
11	1	It is a massive parallel distributed processor made up of smaller processing units, that aquire knowledge through the environmnet through a learning process and makes it available for use. It resembles the brain in two ways:    - Knowledge is aquired through a stimulating process in the environment  - The knowledge is embedded in the synaptic links (weights) of the neurons. 	2
12	1	ANN is a learning machine which is composed of neurons as units of computation. The ANN learns via interacting with its environment. The ANN has built-in capacity to dynamically adapt upon input stimulus.    The ANN is motivated from biological brain and resembles human brain in terms of its localized representation for the inputs. In terms of motor cortex, the sensory stimulus to diffrent body-parts activates local part of the brain, similar to ANN local representation of similar type of input.	2
13	1	A neural network is a massively parallel distributed prcoessor made up for simple processing units that has a natural propensity for storing experiential knowledge and making it available for use. It resembles the brain in two respects  * Knowledge is acquired by the network from its environment through the learning process  * Interneuron connection strengths known as synaptic weights, are used to stor the acquired knowledge.	2
14	1	Artificial neural network is a massively parallel distributed processor which consists of one or more processing unit called neuron. It resembles the human brain for that it acquires knowledge from the environment through learning process, and that the acquired knowledge is stored in the synapses.	2
15	1	A ANN is a massively distributed processor. It has the propensity to store experiental knowledge and make it available for use. The knowledge is gained throug a process of learning. The knowledge is stored in the weights between the neurons. This structure resembles the structure of the brain. Neurons are a the basic information unit in the ANN and act similiar to real neurons.	2
16	1	An artificial neural network is defined as a learning machine which is divided by layers and each layer is composed by neurons. The neurons from different layers can be connected between each other, and give an output or multiple outputs by a given input. This structure is very similar with the neurological structure of our brain, where neurons are interconnected by synapses. Also important to mention, if a feature is really important for a given task, this wil have more connections and neurons participating (like in the human brain, the important humasn functions have more synapses).	2
17	1	A massively distributed processor, consisting of single processing units that have a natural prospensity of storing experimental knowledge and making it available for use.	1
18	1	Artificial neural network is highly parralel processing. It has a mathematical model similar to human brain, which it was inspired from, as human brain does computation in an extremely parallel manner. Similarities also lay in terminology, ANN is using neurons that are smallest computing unit of a network, similarly to human brain.	1
19	1	An ANN is a layered graphical model containing neurons and weighted connections, resembling the excitatory properties of the human brain. Weights of the ANN are changed after presenting it training examples from an environment, where weights are changed based on the training procedure used. Artificial neurons also are biased, just like real ones, adding a constant level of activation before being activated by a (nonlinear) activation function. Depending on the training procedure, both weights, topology or even activation functions may be learned.	2
20	1	Artificial Neural Networks are large parallel processing units that have the natural ability to learn experiential knowledge. They are composed of interconnected neurons as basic units; which in turn cosists of weights, squashing functions and adder functions.    ANN resembles brain in the manner that like in human brain, it is composed of a network of neurons which help in learning by adjusting the synaptic weights of the connections between neurons. This enables it to learn experiential knowledge.	2
21	1	Artificial neural network consists of:        . Largely parallel distributed processor            . simple processing units            . that has ability to store the experential knowledge and making it available to use        It resembles to human brain in two ways:        . Knowledge is acquired from the environment by the network as learning process      . Synaptic strengths called weights are used to store the knowledge	2
22	1	An artificial neural network is a massive distributed processor. It consists of several information processing units which are able to acquire and store knowledge.	1
23	1	An artificial neural network is a massively parallel distributed processor with simple processing units that has the natural propensity to store experiential knowledge and make use of them.    An artificial neural network is similar to the human brain in two ways:    1. The ANN works by the process of learning from its environment.  2. Interneuron connections called synaptic weights are used to store the knowledge gained. 	2
24	1	An articial neural network consists of neurons. Each neuron can have several weighted inputs, an activation function and output. Usually several neurons are connected together. Often in layers. The network then calculates the output given an input to the network. The human brain works in a similar way. It also consits of neurons that are connected in several ways.	1
25	1	An ANN is a  - massivly parallel distibuted Processor  - made up of simple processing units  - which have the capability of storing experiantal knowlenge  - and is made up for use.    An ANN resembles the brain because:    1) it gets its knowlenge through a learning process from its environment.    2) it stores its knowlenge in its interneuron connections (synaptic weights)	2
26	1	An ANN is a massivly parrallel distributed learing machine made up of small computational units. Computational units are connected via synapses defined by a weight. It resembles the human brain in two aspectes:   	1
27	1	An artificial neural network is a highly parallel working machine which consists of simple processing units (neurons) wich are connected to each other in layers. they are function approximators   the brain is resembled in the architecure, the processing units and thge weights and how the learning process takes place and the properties of the brain: fault tolerance, parallel computing, ... 	1
28	1	An artificial neural network is a highly parallel computation model with learning and memory capacities. Similar to the brain it learns from the environment by strengthening the synapses between neurons. Once a task is learned it can be quickly used by reactivating those learned synapses.	1
29	1	Artificial neural network is massively parallel distributed processor made up of simple computing units called neurons which aquires knowledge from environment through learning. It resembles brainlike structure in two ways,     1. It aquires knowledge through learning and experience   2. It stores knowledge in interneuron connections called synapses. 	2
30	1	Artificial neural network is massively distributed paralled processor containing simple processing units and has natural propensity to store experiential knowledge and use it.It resembles the human brain in two aspects, it gains knowledge from the environment and adapts the synaptic weight to store the knowledge.	2
31	1	ANN is a learning machine which can perform complex parallel computation. It has the ability to learn through the interactions withthe environment and store the learned knowedge.     It resembles the human brain in performing complex learning tasks, acquiring information, apadpting to the environment, and exploiting the acquired information.	2
32	1	An artificial neural network is a graph of small and identical processing units that these small units called neurons and they are connected to each other in different architectures and the whole network adapt and itself to the environment inputs by trying to decrease the error or the cost function and increase its preciseness by manipulating the free variables of the network which are the synaptic weights.    It is similar to human brain because similar to the human brain we have many small processing units that are connected together and they react to the environment and learn from the environment.	2
33	1	An Artificial Neural Network is a massively parallel distributed processor which interacts with its surrounding environment, with a propensity to store knowledge and make it available to use.    It resembles the brain in two aspects:    1. It has the ability to learn from its environment    2. The knowledge is stored in synaptic weights	2
34	1	An artificial neural network is a massively distributed parallel processor made up of simple processing units that have the natural propensity for storing experiental knowledge and making it available for future use.    It resembles the brain in the following ways:    1. Artificial neural networks have the ability to acquire knowledge from the environment in which they are are embedded.  2. Inter-neuron connection strenghts called synaptic links activate each neuron during the learning process.	2
35	1	An artificial neural network consists of neurons, which are small computation devices,and synapses, the connections between the neurons. This resembles the brain because it also has neurons and synapses. Also a artificial neural network has weights, which are used to store learned features from the environment. Like the brain a neural network learns from the environment. An artificial neural network also has an activation function, which creates the output.	2
36	2	1) Neuron is consist of sysnaptic  links which measured in terms of weights. neuron is given with inputs.\    2)it has adder funtion or combiner which adds all the inputs mulitplied by the weights and bias is extra input to the neuron as well.    3) it has a activation link which limit the amplitude of the output of the neuron. 	1
37	2	Neuron is the basic information processing unit which is the main component of a neural network. A neuron is charecterized by its input ($x_i$), synaptic weight ($w_i$) and activation function $\phi(v)$. Mathematically it can be modelled as $\phi(w_ix_i)$. Activation function bounds the input to a certain level.	2
38	2	YOUR ANSWER HERE    A neuron has three components    * Synaptic weight: w  * Adder function: it multiplies input x with the weight  * Activation function: It squashes the output of the adder function. Sigmoid, hyperbolic tangent, Rectified linear unit etc.	2
39	2	A neuron consist of set of inputs that takes data from environment. Each neuron contains synapses(connection links) that are characterized by weights. All inputs are connected to the summing (adder) function, that computes weighted sum of all input values. This weighted sum is called local field of neuron. The value of this local field (V) is limited(squased) by an activation funtion $\theta(V)$. The result from this squasing funtion is output of a neuron ($y = \theta(V)$).  Additionally, a bias term $(b)$ is added to the input, and its value is always 0, but its associated weight is being changed over training period. Finally, output of neuron is $y = \theta(V)$, where $V = \sum W_j * X_j + b$	2
40	2	The neurons are the basic processing units in neural network    output of the neuron = $  \phi (\sum w_{i} x_{i})$       they consist of three parts    Synaptic weight: the connections between the neurons. characterised by weights    Adder function: calculates the weighted sum of the inputs of the neuron    Activation function: limits the amplitude of the output of the neuron. ($\phi$)	2
41	2	The model of a neuron consists of synaptic weights which are applied to the input signals. The weighted inputs are then summed which gives the local field. This local field is put into an activation function whose output will be the output of the neuron.	2
